Reksa Dana;Bulan;Y;X1;X2
Reksa Dana Architas Saham Dinamis;Januari 2018;0,018265;0,034911;1
Reksa Dana Architas Saham Dinamis;Februari 2018;-0,011697;-0,005694;0
Reksa Dana Architas Saham Dinamis;Maret 2018;-0,088975;-0,066300;0
Reksa Dana Architas Saham Dinamis;April 2018;-0,043728;-0,035830;0
Reksa Dana Architas Saham Dinamis;Mei 2018;-0,004040;-0,006257;0
Reksa Dana Architas Saham Dinamis;Juni 2018;-0,050868;-0,035230;0
Reksa Dana Architas Saham Dinamis;Juli 2018;0,021604;0,019237;1
Reksa Dana Architas Saham Dinamis;Agustus 2018;0,010906;0,009396;1
Reksa Dana Architas Saham Dinamis;September 2018;-0,012933;-0,011384;0
Reksa Dana Architas Saham Dinamis;Oktober 2018;-0,029750;-0,028666;0
Reksa Dana Architas Saham Dinamis;November 2018;0,039213;0,034071;1
Reksa Dana Architas Saham Dinamis;Desember 2018;0,012558;0,018429;1
Reksa Dana Architas Saham Dinamis;Januari 2019;0,048910;0,050220;1
Reksa Dana Architas Saham Dinamis;Februari 2019;-0,039886;-0,018139;0
Reksa Dana Architas Saham Dinamis;Maret 2019;0,008591;-0,000477;0
Reksa Dana Architas Saham Dinamis;April 2019;-0,005288;-0,006494;0
Reksa Dana Architas Saham Dinamis;Mei 2019;-0,032601;-0,042564;0
Reksa Dana Architas Saham Dinamis;Juni 2019;0,027521;0,019658;1
Reksa Dana Architas Saham Dinamis;Juli 2019;-0,006389;0,000593;1
Reksa Dana Architas Saham Dinamis;Agustus 2019;-0,032561;-0,014129;0
Reksa Dana Architas Saham Dinamis;September 2019;-0,036388;-0,029604;0
Reksa Dana Architas Saham Dinamis;Oktober 2019;0,010224;0,005179;1
Reksa Dana Architas Saham Dinamis;November 2019;-0,038545;-0,039180;0
Reksa Dana Architas Saham Dinamis;Desember 2019;0,051782;0,043436;1
Reksa Dana Architas Saham Dinamis;Januari 2020;-0,061030;-0,061487;0
Reksa Dana Architas Saham Dinamis;Februari 2020;-0,091295;-0,086466;0
Reksa Dana Avrist Equity Cross Sectoral;Januari 2016;-0,013644;0,000402;1
Reksa Dana Avrist Equity Cross Sectoral;Februari 2016;0,029109;0,029337;1
Reksa Dana Avrist Equity Cross Sectoral;Maret 2016;0,015552;0,011176;1
Reksa Dana Avrist Equity Cross Sectoral;April 2016;-0,009337;-0,005822;0
Reksa Dana Avrist Equity Cross Sectoral;Mei 2016;-0,014730;-0,013041;0
Reksa Dana Avrist Equity Cross Sectoral;Juni 2016;0,058102;0,041397;1
Reksa Dana Avrist Equity Cross Sectoral;Juli 2016;0,027235;0,035315;1
Reksa Dana Avrist Equity Cross Sectoral;Agustus 2016;0,017824;0,028173;1
Reksa Dana Avrist Equity Cross Sectoral;September 2016;-0,019927;-0,008357;0
Reksa Dana Avrist Equity Cross Sectoral;Oktober 2016;-0,000765;0,006342;1
Reksa Dana Avrist Equity Cross Sectoral;November 2016;-0,082228;-0,054882;0
Reksa Dana Avrist Equity Cross Sectoral;Desember 2016;0,016554;0,024284;1
