waktu,username,text;
2022-02-13 14:29:45+00:00,hazmi,b'RT Shortage of staffs And gaji kecik End of the day orang pilih gig job seperti bawak Grab amp buat delivery GrabFood';
2022-02-13 14:28:26+00:00,cowok wangi,b'Dikira yang tukang ambilin grabfood di lobby';
2022-02-13 14:27:47+00:00,alsa 📌njm au,b'gofood grabfood kali aja ada';
2022-02-13 14:26:59+00:00,Ernis Feriandes,b'abis grabfood soto ngawi pesan kerupuk kaleng juga sotonya habis kerupuknya aman di dalam plastik kelupaan dimakan';
2022-02-13 14:20:28+00:00,Daradavira,b'HOKI gini jajan GrabFood amp GrabMart pake promonya BagiHoki HOKI gini jajan GrabFood amp Grab';
2022-02-13 14:20:23+00:00,Daradavira,b'HOKI gini jajan GrabFood amp GrabMart pake promonya BagiHoki HOKI gini jajan GrabFood amp Grab';
2022-02-13 14:20:19+00:00,Daradavira,b'HOKI gini jajan GrabFood amp GrabMart pake promonya BagiHoki HOKI gini jajan GrabFood amp Grab';
2022-02-13 14:20:14+00:00,Daradavira,b'HOKI gini jajan GrabFood amp GrabMart pake promonya BagiHoki HOKI gini jajan GrabFood amp Grab';
2022-02-13 14:18:53+00:00,Daradavira,b'RT Giveaway total Rp 1 juta buat 5 orang pemenang Masing masing dapet voucher GrabFood amp GrabMart Rp200ribu Caranya gampa';
"2022-02-13 14:15:00+00:00,""Info Promo, Sale, & Cashback. Beli Selagi Murah!"",b'PROMO ROTI O MENU HEMAT KOPDAR 1 KOPDAR 1 1 Roti O Kopi O Brown Sugar Cup 2 KOPDAR 2 2 Roti O 1 Kopi R'";
2022-02-13 14:14:28+00:00,clumsyjia,b'RT Diskon Kilat Februari GrabFood hemat s d 90 diskon 50 seharian Paket Berduaan yang bisa digabung diskon s d Rp50rb Janga';
2022-02-13 14:14:16+00:00,Obi-Chans Kenobi,b'maap ga gofood cuma grabfood';
2022-02-13 14:12:01+00:00,wanghunyi,b'RT Diskon Kilat Februari GrabFood hemat s d 90 diskon 50 seharian Paket Berduaan yang bisa digabung diskon s d Rp50rb Janga';
2022-02-13 14:10:44+00:00,Tison Situmeang,b'RT Diskon Kilat Februari GrabFood hemat s d 90 diskon 50 seharian Paket Berduaan yang bisa digabung diskon s d Rp50rb Janga';
2022-02-13 14:08:49+00:00,Ocit,b'RT JAEHYUN CUPSLEEVE EVENT In Collaboration 22 teencore amp iamgeminio Kopi Chuseyo Batununggal amp Kopi Chuseyo Cihampelas';
2022-02-13 14:07:39+00:00,husaini (derogatory),b'Eh murahnye grabfood melaka Kat selangor macam sial ye harga';
2022-02-13 14:02:22+00:00,Made by Pure bliss🦋,b'Grabfood nasi goreng sejam yg bener aja';
2022-02-13 14:01:40+00:00,cha,b'bisaan banget laper jam segini untung masih ada promo thanks grabfood';
2022-02-13 14:01:17+00:00,⭐,b'Aku selalu jugak pakai grabfood amp foodpanda I know the price stated there much higher kalau nak dibandingkan dekat';
2022-02-13 13:59:34+00:00,FANINDIA A.S,b'Dari sore scroll grabfood gofood shopeefood Tapi kayanya masak mi aja deh';
2022-02-13 13:58:26+00:00,Oj000L pake Nol 3 bukan O,b'RT Kabar gembira untuk kita semuaaa sekarang udah bisa tulis review di GrabFood lho Ga cuma pakai bintang aja Ditambah l';
2022-02-13 13:58:06+00:00,oyang,b'Lama gilaaa order grabfood hrini nk boleh ke hntr delay delay then tukr driver lagi then delay dari kul 8 20 kut';
2022-02-13 13:55:50+00:00,Harus Punya,b'Dah di bang ini hujan dikarawang masih aja nih jadi segan kan mau pesen grabfood';
2022-02-13 13:55:12+00:00,belokkirilangsung,b'Kebab merah putih di grabfood sih juara for my opinion';
2022-02-13 13:53:27+00:00,akim.,b'Okay je berehhh Aku memang duk sini lah kerja pun sini Dulu rajin pi shah alam pun bersebab Nanti nak';
2022-02-13 13:51:10+00:00,birdy,b'RT Diskon Kilat Februari GrabFood hemat s d 90 diskon 50 seharian Paket Berduaan yang bisa digabung diskon s d Rp50rb Janga';
2022-02-13 13:50:43+00:00,cici,b'males bgt tiap pesen grabfood gapernah dpt driver';
2022-02-13 13:50:40+00:00,han,b'RT HOKI gini jajan GrabFood amp GrabMart pake promonya BagiHoki';
2022-02-13 13:49:27+00:00,whosthere,b'RT Diskon Kilat Februari GrabFood hemat s d 90 diskon 50 seharian Paket Berduaan yang bisa digabung diskon s d Rp50rb Janga';
2022-02-13 13:48:19+00:00,Om hero,b'RT Diskon Kilat Februari GrabFood hemat s d 90 diskon 50 seharian Paket Berduaan yang bisa digabung diskon s d Rp50rb Janga';
2022-02-13 13:47:42+00:00,caca,b'Grabfood sering pake ga kak';
2022-02-13 13:46:33+00:00,Gee,b'Ada yg punya voucher grabfood zonauang zonajajan zonabu';
2022-02-13 13:45:12+00:00,Yusuf Gunawan,b'RT Gimana hari minggumu kali ini Refresh lagi moodmu dengan Honey Latte yang mengandung madu murni didalamnya Grabfood Sh';
2022-02-13 13:43:13+00:00,Bonekanemo,b'HOKI gini jajan GrabFood amp GrabMart pake promonya BagiHoki Semoga hoki saya kali ini yaa';
2022-02-13 13:41:57+00:00,Mhd Ridwan,b'HOKI gini jajan GrabFood amp GrabMart pake promonya BagiHoki Semoga kali ini dapet hoki dari Grab';
2022-02-13 13:41:51+00:00,Mhd Ridwan,b'HOKI gini jajan GrabFood amp GrabMart pake promonya BagiHoki Semoga kali ini dapet hoki dari Grab';
2022-02-13 13:41:46+00:00,Mhd Ridwan,b'HOKI gini jajan GrabFood amp GrabMart pake promonya BagiHoki Semoga kali ini dapet hoki dari Grab';
2022-02-13 13:41:41+00:00,Mhd Ridwan,b'HOKI gini jajan GrabFood amp GrabMart pake promonya BagiHoki Semoga kali ini dapet hoki dari Grab Amiiin';
2022-02-13 13:41:35+00:00,Bonekanemo,b'RT Giveaway total Rp 1 juta buat 5 orang pemenang Masing masing dapet voucher GrabFood amp GrabMart Rp200ribu Caranya gampa';
2022-02-13 13:41:23+00:00,Mhd Ridwan,b'HOKI gini jajan GrabFood amp GrabMart pake promonya BagiHoki Semoga kali ini dapet hoki dari Grab';
2022-02-13 13:40:19+00:00,kiki,b'ooh Ada juls itu belinya dari grabfood';
2022-02-13 13:37:26+00:00,Anangkodo,b'RT Diskon Kilat Februari GrabFood hemat s d 90 diskon 50 seharian Paket Berduaan yang bisa digabung diskon s d Rp50rb Janga';
2022-02-13 13:36:45+00:00,ayu,b'yaallah kasi uang biar bs beli makan2an enak pas scroll grabfood';
2022-02-13 13:35:02+00:00,mwn🏁,b'Ah iya apaa makasih infonyaa kebetulan shopeefood emang tak jadiin pilihan ketiga kalau di gofood a';
2022-02-13 13:34:12+00:00,𝐚𝐛𝐢,b'HAHAHA KAU CAKAP GINI AKU TERINGAT BABYSUJI PUNYE GRABFOOD RIDER HAHAHAHAHAHAHA';
2022-02-13 13:32:19+00:00,txtdarisumbersareh,b'Jl Pisang Agung V 5 Ada di GrabFood dan gofood Tapi biasanya lebih aktif di grab';
2022-02-13 13:32:09+00:00,Fransisca R,b'RT Anak Jaksel kalo ada fitur review resto di GrabFood Jujurly the tofu gejrot itu unch banget Spicy nya tuh pas ga bikin my';
2022-02-13 13:29:42+00:00,Slmaalu_,b'RT Diskon Kilat Februari GrabFood hemat s d 90 diskon 50 seharian Paket Berduaan yang bisa digabung diskon s d Rp50rb Janga';
2022-02-13 13:27:04+00:00,psjati.com,b'Grabfood bagi hoki lagu iklan non ironis terburuk yang pernah aku dengar';
2022-02-13 13:19:10+00:00,Rena (/Rain-nah/),b'Wakakak dengan kekuatan diskon di gofood dan grabfood tinggal mencet hadir makanannya';
2022-02-13 13:15:51+00:00,y,b'RT Diskon Kilat Februari GrabFood hemat s d 90 diskon 50 seharian Paket Berduaan yang bisa digabung diskon s d Rp50rb Janga';
2022-02-13 13:15:40+00:00,tugekcomele,b'Grabfood tiba tiba di luar kawasan penghantaran kenapa dah Gara gara ujan';
2022-02-13 13:14:10+00:00,Ari,b'Akhirnya Setelah sejam otak atik grabfood gue pesen juga';
2022-02-13 13:13:19+00:00,Lism,b'HOKI gini jajan GrabFood amp GrabMart pake promonya BagiHoki BagiHoki';
2022-02-13 13:11:14+00:00,Arinda Fitria,b'Driver grabfood juga ilang paay gegara ujaan';
2022-02-13 13:08:09+00:00,Allen,b'JAEHYUN CUPSLEEVE EVENT In Collaboration 22 teencore amp iamgeminio Kopi Chuseyo Batununggal amp Kopi Chuseyo';
2022-02-13 13:05:05+00:00,#SayangiSemesta,b'Monggo dipesan luuur Warung Penyetan Cak Rie Pertigaan Pertelon Pendem Batu Kab Malang Eunak amp Murah 10K an N';
2022-02-13 13:02:53+00:00,Medan Indonesia ✮✮✮✮,b'DISCOUNT 50 via GrabFood Promo terbatas pastikan kalian dapatin promonya Cukup';
2022-02-13 12:55:02+00:00,Si Paling Grab,b'Bener banget nder cusss pesenin GrabFood aja Mumpung DiskonKilatGrab tinggal besok nih 14 Feb terakhir DiskonKilat';
