Reksa Dana;Bulan;Y;X1;X2
Reksa Dana Bahana Dana Ekuitas Prima;Maret 2020;-0,200423;-0,170744;0,029154
Reksa Dana Bahana Dana Ekuitas Prima;April 2020;0,024034;0,035937;0,001291
Reksa Dana Bahana Dana Ekuitas Prima;Mei 2020;0,013583;0,004727;0,000022
Reksa Dana Bahana Dana Ekuitas Prima;Juni 2020;0,051013;0,028767;0,000828
Reksa Dana Bahana Dana Ekuitas Prima;Juli 2020;0,050161;0,046627;0,002174
Reksa Dana Bahana Dana Ekuitas Prima;Agustus 2020;0,024735;0,176314;0,031087
Reksa Dana Bahana Dana Ekuitas Prima;September 2020;-0,096870;-0,201361;0,040546
Reksa Dana Bahana Dana Ekuitas Prima;Oktober 2020;0,044072;0,049853;0,002485
Reksa Dana Bahana Dana Ekuitas Prima;November 2020;0,101511;0,091254;0,008327
Reksa Dana Bahana Dana Ekuitas Prima;Desember 2020;0,035651;0,062165;0,003865
Reksa Dana Bahana Dana Ekuitas Prima;Januari 2021;-0,047194;-0,022684;0,000515
Reksa Dana Bahana Dana Ekuitas Prima;Februari 2021;0,022349;0,061564;0,003790
Reksa Dana Bahana Dana Ekuitas Prima;Maret 2021;-0,046064;-0,044222;0,001956
Reksa Dana Bahana Dana Ekuitas Prima;April 2021;-0,011603;-0,001475;0,000002
Reksa Dana Bahana Dana Ekuitas Prima;Mei 2021;-0,014985;-0,011195;0,000125
Reksa Dana Bahana Dana Ekuitas Prima;Juni 2021;-0,038972;0,003231;0,000010
Reksa Dana Bahana Dana Ekuitas Prima;Juli 2021;-0,010783;0,010963;0,000120
Reksa Dana Bahana Dana Ekuitas Prima;Agustus 2021;0,006492;0,010059;0,000101
Reksa Dana Bahana Dana Ekuitas Prima;September 2021;0,011742;0,019054;0,000363
Reksa Dana Bahana Dana Ekuitas Prima;Oktober 2021;0,039656;0,045257;0,002048
Reksa Dana Bahana Dana Ekuitas Prima;November 2021;-0,015263;-0,011874;0,000141
Reksa Dana Bahana Dana Ekuitas Prima;Desember 2021;-0,004676;0,004115;0,000017
Reksa Dana Bahana Dana Prima;Maret 2020;-0,198127;-0,170744;0,029154
Reksa Dana Bahana Dana Prima;April 2020;0,031172;0,035937;0,001291
Reksa Dana Bahana Dana Prima;Mei 2020;0,018833;0,004727;0,000022
Reksa Dana Bahana Dana Prima;Juni 2020;0,054587;0,028767;0,000828
Reksa Dana Bahana Dana Prima;Juli 2020;0,040120;0,046627;0,002174
Reksa Dana Bahana Dana Prima;Agustus 2020;0,026550;0,176314;0,031087
Reksa Dana Bahana Dana Prima;September 2020;-0,094170;-0,201361;0,040546
Reksa Dana Bahana Dana Prima;Oktober 2020;0,046496;0,049853;0,002485
Reksa Dana Bahana Dana Prima;November 2020;0,103423;0,091254;0,008327
Reksa Dana Bahana Dana Prima;Desember 2020;0,044384;0,062165;0,003865
Reksa Dana Bahana Dana Prima;Januari 2021;-0,047584;-0,022684;0,000515
Reksa Dana Bahana Dana Prima;Februari 2021;0,018680;0,061564;0,003790
Reksa Dana Bahana Dana Prima;Maret 2021;-0,054897;-0,044222;0,001956
Reksa Dana Bahana Dana Prima;April 2021;-0,008207;-0,001475;0,000002
Reksa Dana Bahana Dana Prima;Mei 2021;-0,010635;-0,011195;0,000125
Reksa Dana Bahana Dana Prima;Juni 2021;-0,047271;0,003231;0,000010
Reksa Dana Bahana Dana Prima;Juli 2021;-0,011327;0,010963;0,000120
Reksa Dana Bahana Dana Prima;Agustus 2021;0,031947;0,010059;0,000101
Reksa Dana Bahana Dana Prima;September 2021;0,018923;0,019054;0,000363
Reksa Dana Bahana Dana Prima;Oktober 2021;0,046544;0,045257;0,002048
Reksa Dana Bahana Dana Prima;November 2021;-0,018330;-0,011874;0,000141
Reksa Dana Bahana Dana Prima;Desember 2021;-0,007215;0,004115;0,000017
Reksa Dana Bahana Trailblazer Fund;Maret 2020;-0,190070;-0,170744;0,029154
Reksa Dana Bahana Trailblazer Fund;April 2020;0,022537;0,035937;0,001291
Reksa Dana Bahana Trailblazer Fund;Mei 2020;0,012664;0,004727;0,000022
Reksa Dana Bahana Trailblazer Fund;Juni 2020;0,026226;0,028767;0,000828
Reksa Dana Bahana Trailblazer Fund;Juli 2020;0,040925;0,046627;0,002174
Reksa Dana Bahana Trailblazer Fund;Agustus 2020;0,011470;0,176314;0,031087
Reksa Dana Bahana Trailblazer Fund;September 2020;-0,088356;-0,201361;0,040546
Reksa Dana Bahana Trailblazer Fund;Oktober 2020;0,040497;0,049853;0,002485
Reksa Dana Bahana Trailblazer Fund;November 2020;0,089423;0,091254;0,008327
Reksa Dana Bahana Trailblazer Fund;Desember 2020;0,033256;0,062165;0,003865
Reksa Dana Bahana Trailblazer Fund;Januari 2021;-0,043470;-0,022684;0,000515
Reksa Dana Bahana Trailblazer Fund;Februari 2021;0,006742;0,061564;0,003790
Reksa Dana Bahana Trailblazer Fund;Maret 2021;-0,028493;-0,044222;0,001956
Reksa Dana Bahana Trailblazer Fund;April 2021;-0,017224;-0,001475;0,000002
Reksa Dana Bahana Trailblazer Fund;Mei 2021;-0,003417;-0,011195;0,000125
Reksa Dana Bahana Trailblazer Fund;Juni 2021;-0,052604;0,003231;0,000010
Reksa Dana Bahana Trailblazer Fund;Juli 2021;0,001840;0,010963;0,000120
Reksa Dana Bahana Trailblazer Fund;Agustus 2021;0,010264;0,010059;0,000101
Reksa Dana Bahana Trailblazer Fund;September 2021;0,013501;0,019054;0,000363
Reksa Dana Bahana Trailblazer Fund;Oktober 2021;0,027857;0,045257;0,002048
Reksa Dana Bahana Trailblazer Fund;November 2021;-0,002807;-0,011874;0,000141
Reksa Dana Bahana Trailblazer Fund;Desember 2021;-0,005468;0,004115;0,000017
Reksa Dana Batavia Dana Saham;Maret 2020;-0,201843;-0,170744;0,029154
Reksa Dana Batavia Dana Saham;April 2020;0,042946;0,035937;0,001291
Reksa Dana Batavia Dana Saham;Mei 2020;0,007086;0,004727;0,000022
Reksa Dana Batavia Dana Saham;Juni 2020;0,041841;0,028767;0,000828
Reksa Dana Batavia Dana Saham;Juli 2020;0,054498;0,046627;0,002174
Reksa Dana Batavia Dana Saham;Agustus 2020;0,011220;0,176314;0,031087
Reksa Dana Batavia Dana Saham;September 2020;-0,088541;-0,201361;0,040546
Reksa Dana Batavia Dana Saham;Oktober 2020;0,047991;0,049853;0,002485
Reksa Dana Batavia Dana Saham;November 2020;0,102112;0,091254;0,008327
Reksa Dana Batavia Dana Saham;Desember 2020;0,051507;0,062165;0,003865
Reksa Dana Batavia Dana Saham;Januari 2021;-0,020855;-0,022684;0,000515
Reksa Dana Batavia Dana Saham;Februari 2021;0,033446;0,061564;0,003790
Reksa Dana Batavia Dana Saham;Maret 2021;-0,041550;-0,044222;0,001956
Reksa Dana Batavia Dana Saham;April 2021;0,009447;-0,001475;0,000002
