Reksa Dana;Bulan;Y;X1;X2
Reksa Dana Bahana Dana Ekuitas Prima;Juli 2020;0.05;0.05;1.00
Reksa Dana Bahana Dana Ekuitas Prima;Agustus 2020;0.02;0.18;1.00
Reksa Dana Bahana Dana Ekuitas Prima;September 2020;-0.10;-0.20;0.00
Reksa Dana Bahana Dana Ekuitas Prima;Oktober 2020;0.04;0.05;1.00
Reksa Dana Bahana Dana Ekuitas Prima;November 2020;0.10;0.09;1.00
Reksa Dana Bahana Dana Ekuitas Prima;Desember 2020;0.04;0.06;1.00
Reksa Dana Bahana Dana Ekuitas Prima;Januari 2021;-0.05;-0.02;0.00
Reksa Dana Bahana Dana Ekuitas Prima;Februari 2021;0.02;0.06;1.00
Reksa Dana Bahana Dana Ekuitas Prima;Maret 2021;-0.05;-0.04;0.00
Reksa Dana Bahana Dana Ekuitas Prima;April 2021;-0.01;0.00;0.00
Reksa Dana Bahana Dana Ekuitas Prima;Mei 2021;-0.01;-0.01;0.00
Reksa Dana Bahana Dana Ekuitas Prima;Juni 2021;-0.04;0.00;1.00
Reksa Dana Bahana Dana Ekuitas Prima;Juli 2021;-0.01;0.01;1.00
Reksa Dana Bahana Dana Ekuitas Prima;Agustus 2021;0.01;0.01;1.00
Reksa Dana Bahana Dana Ekuitas Prima;September 2021;0.01;0.02;1.00
Reksa Dana Bahana Dana Ekuitas Prima;Oktober 2021;0.04;0.05;1.00
Reksa Dana Bahana Dana Ekuitas Prima;November 2021;-0.02;-0.01;0.00
Reksa Dana Bahana Dana Ekuitas Prima;Desember 2021;0.00;0.00;1.00
Reksa Dana Bahana Dana Prima;Maret 2020;-0.20;-0.17;0.00
Reksa Dana Bahana Dana Prima;April 2020;0.03;0.04;1.00
Reksa Dana Bahana Dana Prima;Mei 2020;0.02;0.00;1.00
Reksa Dana Bahana Dana Prima;Juni 2020;0.05;0.03;1.00
Reksa Dana Bahana Dana Prima;Juli 2020;0.04;0.05;1.00
Reksa Dana Bahana Dana Prima;Agustus 2020;0.03;0.18;1.00
Reksa Dana Bahana Dana Prima;September 2020;-0.09;-0.20;0.00
Reksa Dana Bahana Dana Prima;Oktober 2020;0.05;0.05;1.00
Reksa Dana Bahana Dana Prima;November 2020;0.10;0.09;1.00
Reksa Dana Bahana Dana Prima;Desember 2020;0.04;0.06;1.00
Reksa Dana Bahana Dana Prima;Januari 2021;-0.05;-0.02;0.00
Reksa Dana Bahana Dana Prima;Februari 2021;0.02;0.06;1.00
Reksa Dana Bahana Dana Prima;Maret 2021;-0.05;-0.04;0.00
Reksa Dana Bahana Dana Prima;April 2021;-0.01;0.00;0.00
Reksa Dana Bahana Dana Prima;Mei 2021;-0.01;-0.01;0.00
Reksa Dana Bahana Dana Prima;Juni 2021;-0.05;0.00;1.00
Reksa Dana Bahana Dana Prima;Juli 2021;-0.01;0.01;1.00
Reksa Dana Bahana Dana Prima;Agustus 2021;0.03;0.01;1.00
Reksa Dana Bahana Dana Prima;September 2021;0.02;0.02;1.00
Reksa Dana Bahana Dana Prima;Oktober 2021;0.05;0.05;1.00
Reksa Dana Bahana Dana Prima;November 2021;-0.02;-0.01;0.00
Reksa Dana Bahana Dana Prima;Desember 2021;-0.01;0.00;1.00
Reksa Dana Bahana Trailblazer Fund;Maret 2020;-0.19;-0.17;0.00
Reksa Dana Bahana Trailblazer Fund;April 2020;0.02;0.04;1.00
Reksa Dana Bahana Trailblazer Fund;Mei 2020;0.01;0.00;1.00
Reksa Dana Bahana Trailblazer Fund;Juni 2020;0.03;0.03;1.00
Reksa Dana Bahana Trailblazer Fund;Juli 2020;0.04;0.05;1.00
Reksa Dana Bahana Trailblazer Fund;Agustus 2020;0.01;0.18;1.00
Reksa Dana Bahana Trailblazer Fund;September 2020;-0.09;-0.20;0.00
Reksa Dana Bahana Trailblazer Fund;Oktober 2020;0.04;0.05;1.00
Reksa Dana Bahana Trailblazer Fund;November 2020;0.09;0.09;1.00
